,Supermarket,Date,Username,Location,Tweet,Score-minus,Score-neutral,Score-plus
16,Lidl,2022-09-16 09:30:30+00:00,dinie_van,Drentse in Groningerland🌳🐄,"@pieter_bull Ik geef onze katten gewoon alles van de Lidl…Zijn bijna 15 jaar oud en nooit ziek..Ik geloof niet in die dure voeding,vroeger aten honden en katten met de pot mee..Leefden lang en gelukkig..",0.106,0.894,0.0
17,Lidl,2022-09-16 09:29:53+00:00,PerKostas,Αθήνα,"Τα Lidl ανακαλούν δύο προϊόντα από τα ράφια τους και σύμφωνα με ανακοίνωση της εταιρεία, καλούνται οι καταναλωτές να μην καταναλώσουν.
https://t.co/qQw2CKcb8D",0.0,1.0,0.0
18,Lidl,2022-09-16 09:29:26+00:00,Magnum_Hermosa,Alabama,Middlesbrough Council is hearing concerns about a new Lidl store in Teesside https://t.co/Q8giqGJim2,0.0,1.0,0.0
19,Lidl,2022-09-16 09:29:08+00:00,fearlessfrvn,harry styles wore my pink boa,"@NHCAPALDI amo vai da Aldi o da Lidl, i supermercati come Rewe sono troppo cari!!!",0.0,1.0,0.0
20,Lidl,2022-09-16 09:28:41+00:00,elcapit73550840,,"@AzulejodEntrada @manjos Certo, como os chinelos e as meias do LIDL",0.0,1.0,0.0
21,Lidl,2022-09-16 09:28:38+00:00,EnCarlssons,"Göteborg, Sverige",Halva fredagen har passerat lunchen är intagen nästa anhalt blir eftermiddagskaffet vid 14 tiden. Sedan ska mat och vin inhandlas innan frugan kommer från jobbet vid 16 tiden. Toapapper och diskmaskinsmedel står på listan resten köper jag på måfå. Får se vad Lidl erbjuder. https://t.co/IgvYPI2FLy,0.0,1.0,0.0
22,Lidl,2022-09-16 09:26:52+00:00,HrDingsMitHund,"Tindaya, Fuerteventura","Bin sehr müde, weil ich einen sehr stressigen Vormittag hatte. Ich war mit Papa beim Autoschrauber und habe einen Ersatzreifen bestellt. Dann habe ich bei Netto im Auto gewartet u dann musste ich beim Lidl im Auto warten u auf das Futter aufpassen, das wir bei netto gekauft haben https://t.co/NKvKO1Twhm",0.077,0.923,0.0
23,Lidl,2022-09-16 09:26:20+00:00,lizzyfa,Hants,This Lidl bourgainvillea bought a few months ago has gone full on spectacular https://t.co/r73CCehN6F,0.0,1.0,0.0
24,Lidl,2022-09-16 09:25:53+00:00,Jozzy_Josbourne,,Baya Lidl oluyor bunlar. Günlük kruvasan da çıkarsalar tam olur ama kruvasanın nasıl ortaya çıktığını halkımız bilse yıkarlar olayı. https://t.co/bNzqnhlZYO,0.0,1.0,0.0
25,Lidl,2022-09-16 09:25:05+00:00,LivaLivina29,"Riga, Latvia","Ja nu kāds domà, ko nopirkt Lidl! https://t.co/6yfA8JGu84",0.0,1.0,0.0
26,Lidl,2022-09-16 09:24:48+00:00,fetsmal,,@exmemoriam @EdvinAlpros Jag kom hit för detta. Nya ”Lidl-skolan”!,0.0,1.0,0.0
27,Lidl,2022-09-16 09:24:11+00:00,StevenOMcCarthy,,"@eoinyk There is a big markup on food - always has been.

That said the steaks in Aldi/Lidl aren't great. Get a far superior steak from your local butcher for not much more.",0.095,0.805,0.101
28,Lidl,2022-09-16 09:23:14+00:00,beautifulskem,Skelmersdale,"This is the sign that appeared before the woodland was bulldozed:
@rosie4westlancs @CllrIanMoran @StModwen @StModwenIL @LidlGB @bmstores https://t.co/dg9bAAKj5M",0.0,1.0,0.0
29,Lidl,2022-09-16 09:23:03+00:00,KrakowaMarcin,,"@FeusetteK Pewnie Niemcy będą załatwiać sobie fundusze na budowę Kaufland, Lidl itp na Ukrainie tak jak dostali na budowę w Polsce w latach 90-tych, potem będą chcieli przejąć produkcję i przetwórstwo żywności",0.0,1.0,0.0
30,Lidl,2022-09-16 09:22:41+00:00,Nusskati,bei deiner Mudda Tee trinkend,"@lichtlauschen @CarstenKrinke @ALDINord_Presse @lidl @REWE_Supermarkt @kaufland Auf dem Supermarkt Privatgelände entscheidet das im Regalfall der Eigentümer mwd.

Der kann die Stellplätze auch nur für den VW Polo von 93 freigeben, wenn er das so will.

Kund:innen dürfen aber nicht anhand von Geschlecht/Nationalität/Religion etc. nicht diskriminiert werden.",0.08,0.92,0.0
31,Lidl,2022-09-16 09:22:36+00:00,paladarRSS,España,¿Cocina pequeña o desordenada? Lidl tiene la solución para ganar espacio y tener todo bien organizado https://t.co/IUfgDnGoH3 https://t.co/AZpqHiWjnI,0.0,1.0,0.0
32,Lidl,2022-09-16 09:22:31+00:00,Cassiop95822805,,@Klimmske @soeinfach12 @Bundeskanzler Beim besten Willen braucht man da keinen Schwab oder VT. Das sieht man seit vielen Jahren. Die Bürger nehmen geiz ist geil aber gerne an. Wenn die alle solidarisch wären und beim Bäcker oder Metzger nebenan kaufen würden wäre das Modell rewe Lidl am Ende. Ganz einfach,0.14,0.86,0.0
33,Lidl,2022-09-16 09:22:14+00:00,Tentapurple,Balamb Garden,@alekziend Hay unas que venden en el Lidl que están...🤤🤤,0.0,1.0,0.0
34,Lidl,2022-09-16 09:22:08+00:00,its_dirk2,"Emmendingen, Baden-Württemberg","@franello_BF Bitte, dass ist aber sehr beliegend für #lidl. Die  haben schließlich auch Fachkräfte und ungelerntes Personal braucht man da auch nicht. 😉",0.157,0.843,0.0
35,Lidl,2022-09-16 09:21:31+00:00,P4bl0_157,España,"Bendito sea el momento en el que puedo salir a la calle en el recreo y en frente del insti tengo: un Lidl, un burguer, un supeco, un papá John's y un MC Donalds",0.0,1.0,0.0
36,Lidl,2022-09-16 09:21:26+00:00,Comenta_conmigo,,"Yo pensaba que lo peor de comprar en Lidl online era la empresa de reparto que no repartía. Pero la devolución del dinero le hace competencia eh
Menuda mierda. Sigo sin mi dinero",0.158,0.842,0.0
37,Lidl,2022-09-16 09:19:54+00:00,JohannWaldmann,,@franello_BF in 5 Jahren heißt Lidl CHIN-LI,0.0,1.0,0.0
38,Lidl,2022-09-16 09:19:36+00:00,MJowen174,The Manchester,In a bid to promote healthy living our local Lidl have got rid of the sweets by the till and replaced them with…booooooooze. https://t.co/3vnJ8Lq2fu,0.0,0.702,0.298
39,Lidl,2022-09-16 09:19:00+00:00,Ladenalemana,Deutschland - Germany - Alemania,Leere Regale bei Aldi und Lidl: Viele Produkte sind aktuell nicht mehr verfügbar  https://t.co/6lDuFzwBuv,0.0,1.0,0.0
40,Lidl,2022-09-16 09:18:51+00:00,frechdaxxx,,@franello_BF Tatsächlich glaube ich das nicht. Die Einstellungsvoraussetzungen bei Lidl sind recht anspruchsvoll.,0.245,0.755,0.0
41,Lidl,2022-09-16 09:18:47+00:00,ValmierasZinas,"Valmiera, Latvija","Valmieras “Lidl” veikala taromātā iespējams ziedot vientuļiem senioriem Valmieras reģionā
https://t.co/Y5Tf5f137c",0.0,1.0,0.0
42,Lidl,2022-09-16 09:18:37+00:00,RosendorfStefan,,"@Papiergewitter @nicolange_ Zeigen sie mir einen NATO-Staat der west-Panzer geliefert hat 🤷🏻‍♂️

Und Volkswirtschaft spielt keine Rolle. Es geht hier um Panzerm nicht um Euronoten.
Und sie können nicht mal eben zum LIDL am Eck gehen und ein paar Panzer kaufen.
Entweder man hat die.... oder halt nicht.",0.0,1.0,0.0
43,Lidl,2022-09-16 09:17:07+00:00,Athletia_Sports,Germany,"@moussjr782 réel même Lidl font mieux mdrr
faut rester dans la bouffe maghrébine qui est incroyable, pourquoi aller ailleurs",0.0,1.0,0.0
44,Lidl,2022-09-16 09:16:52+00:00,Glasson_ytb,3eme sortie a 200m,@miliaetan Rip alors sinn si t’a une pause et si ta un lidl à côté ou un truc comme ça va prendre des chips,0.0,1.0,0.0
45,Lidl,2022-09-16 09:16:49+00:00,PVaskivuo,,@RitaTainola Lidl on hyvä kauppa. Onneksi tuli Suomeen.,0.0,1.0,0.0
46,Lidl,2022-09-16 09:16:34+00:00,firmenauto,Stuttgart,Der Einzelhändler Lidl Schweiz wendet sich in der Filialbelieferung bis 2030 von fossilen Energieträgern ab. So soll die Abkehr vom Diesel gelingen. https://t.co/Zt1vAVVRfa https://t.co/z3AfwYjqca,0.154,0.846,0.0
47,Lidl,2022-09-16 09:15:48+00:00,KarlMarcoDick,,@franello_BF Glaube kaum das Lidl ne ungelernte Kraft einstellt und davon abgesehen finde ich eine solchen Vergleich den Lidl Mitarbeitern gegenüber nicht fair. Das sind anständige Leute die sich jeden Tag reinhängen. Das kann man von Frau Lang nicht gerade behaupten.,0.086,0.863,0.051
48,Lidl,2022-09-16 09:15:43+00:00,HerrUberberg,Germany,"@realTomBohn @franello_BF In einem. Und dann sitzt sie auch nicht bei Lidl an der Kasse, sondern vor Gericht.",0.0,1.0,0.0
49,Lidl,2022-09-16 09:15:20+00:00,CatherineRotteM,,"Indeed.  I love that @Aldi_Ireland , @lidl_ireland and even @CentraIRL and @SuperValuIRL have decent steaks 🥩 for under a tenner for 2 in many cases. It’s not like the restaurants are flogging rare #wagyu or fillet steaks at their extortion rates. https://t.co/IIei1f67FT",0.051,0.847,0.102
50,Aldi,2022-09-16 09:36:38+00:00,bluemagic70s,"Bursa, Türkiye",@missturkeyresmi Beşiktaş Alexis Sanchez’i mi aldı,0.0,1.0,0.0
51,Aldi,2022-09-16 09:36:36+00:00,dikgazete,,"AB vize kolaylığını askıya aldı, bazı üye ülkeler Ruslara vize vermeyi tümüyle durdurdu ... https://t.co/2rXJuQaRFg ... #dikGAZETE https://t.co/VRTOfL2dIx",0.0,1.0,0.0
52,Aldi,2022-09-16 09:36:32+00:00,Orhan30175295,"Bursa, Türkiye",@ErgulYuksel1985 Aynen kanka babamı alamadık zamanında hastane de kaldı. Boş boş durmayayım burda bari diyip hastanede çalışmaya başladı. Bi süre sonra sınavlara girip doktor oldu ordan gece gündüz çalıştı başhekim oldu. Allah yürü ya kulum dedi ya bi kere işte en son hastaneyi satın aldı 😂,0.0,1.0,0.0
53,Aldi,2022-09-16 09:36:17+00:00,everythingChelm,,News: Aldi recall and 'do not eat' warning over unsafe to eat product https://t.co/WYN3cHiiBg,0.0,0.865,0.135
54,Aldi,2022-09-16 09:36:00+00:00,BeyazGazete,Turkiye,Kemal Kılıçdaroğlu bu kez de sosyal konut projesini hedef aldı! CHP 'İlk evim ilk iş yerim'e de muhalefet https://t.co/D9l15SblPW https://t.co/B16y0oDVFC,0.0,1.0,0.0
55,Aldi,2022-09-16 09:35:47+00:00,AldiUK,,"@Neilfarrington I’m so sorry to see this, Neil. Please speak to a member of the store team on your next convenient visit, the team will be happy to provide you with a refund. In the meantime, I’ll be sure to feed this back. Thanks - Sarka",0.034,0.746,0.22
56,Aldi,2022-09-16 09:35:38+00:00,referansturk,,"AB vize kolaylığını askıya aldı, bazı üye ülkeler Ruslara vize vermeyi tümüyle durdurdu https://t.co/sJOdY3EVmj",0.0,1.0,0.0
57,Aldi,2022-09-16 09:35:38+00:00,sulfatacidkedua,"chup's / pik's, homphob dni",@partaihamdan ngakak bgttttt AWOWKWKWKWKWKWKWKWK aldi komuknya plis,0.0,1.0,0.0
58,Aldi,2022-09-16 09:35:30+00:00,sanliurfatso,Şanlıurfa,"ŞUTSO tarafından 31.12.2020 başvurusu yapılan, Şanlıurfa/Urfa Keten Köyneği Fıstığı, tescil belgesini aldı. İlimizde Şanlıurfa/Urfa Keten Köyneği Fıstığı’nın da tescil belgesi almasıyla tescilli ürün sayısı 42’ye yükseldi.

👉https://t.co/2SBzdunT3W

@iHalilPeltek @ahmetaltun63 https://t.co/MitqgoxeSy",0.0,1.0,0.0
59,Aldi,2022-09-16 09:35:23+00:00,Rosewood_upper,Japan,@Taula_ Aldi taher knpsi,0.0,1.0,0.0
60,Aldi,2022-09-16 09:35:18+00:00,IndiHomeCare,Indonesia,"@HymAldi Sore Kak Aldi, silakan untuk menginformasikan nomor ponsel alternatif melalui DM. Guna kami informasikan dan tindaklanjut perihal permasalahannya. -Iga",0.116,0.884,0.0
61,Aldi,2022-09-16 09:35:06+00:00,Okocha10com,,Hatasi yokmuydu. Tabiki vardi. 80-85 arasi bizim kose noktasina yakin topu eveledi geveledi Doku aldi pozisyon yakaladi ama yine de muhtesemdi..,0.0,1.0,0.0
62,Aldi,2022-09-16 09:35:04+00:00,iddmibtr,"İstanbul, Türkiye",Yönetim Kurulu Başkanımız Sn. Çetin Tecdelioğlu ile birlikte sektör firmalarımızı ziyaret ederek ileriye dönük gelişmeler hakkında bilgi aldı. https://t.co/BFfIHLcRo0,0.0,1.0,0.0
63,Aldi,2022-09-16 09:34:52+00:00,zimbahakan,"Minneapolis, MN",@theterimst Noldu kucağamı aldı sizi ondan mj bu sevgi,0.0,1.0,0.0
64,Aldi,2022-09-16 09:34:48+00:00,ElenbaasHier,"Hilversum, Nederland","@markdehaann Huh, hebben ze daar ook een Aldi dan?",0.0,1.0,0.0
65,Aldi,2022-09-16 09:34:46+00:00,bahtsiz1ii,şükrü saraçoğlu spor kompleksi,"Maç bitmeden Rennes maçı aldı diyenlere 90+2 de Valencia'nın cevabı
https://t.co/9TdrN6P5lU",0.0,1.0,0.0
66,Aldi,2022-09-16 09:34:44+00:00,Berfinim_Deniz,,"Özel Taş Koleji'ni kurdu ve eğitim sektörüne geçti. 111 sinema filmi ve 4 televizyon dizisinde rol alan oyuncu, 1985 yılında Berlin Uluslararası Film Festivali’nde “Pansiyon” filmi ile Gümüş Ayı Mansiyon Ödülü'nü aldı ve 1982 yılında Cannes Film Festivali’nde “Yol” filmi ile",0.0,1.0,0.0
67,Aldi,2022-09-16 09:34:30+00:00,Gul_iRanaa,İstanbul ,@sonsuzkurmaca Çok üzüldüm. O kadar iyi anlıyorum ki. Bizimde Zehra’nın annesinin doğduğunda terk ettiği yavru kediyi büyüttük. Evin balkonunda  köpekler boğdu. Annesi geldi aldı diyoruz öldüğünü bilmiyor. O mutludur ama annesi gelmiş diyor yavrum :(,0.083,0.917,0.0
68,Aldi,2022-09-16 09:34:24+00:00,breakingturkish,,"AB vize kolaylığını askıya aldı, bazı üye ülkeler Ruslara vize vermeyi tümüyle durdurdu  https://t.co/PDxCX0RRoz #haber #breakingnewsturkey #sondakika",0.0,1.0,0.0
69,Aldi,2022-09-16 09:34:22+00:00,crazyangel1_,Türkiye,@balluribere Emre bey burada 1 tane örnek verdim de benim dosyam da olan çoğu insana soruşturma bile açılmadı bir kısmı da takipsizlik aldı işinde gücünde sırf manipüle işleri güçleri bir onlar biliyor,0.0,1.0,0.0
70,Aldi,2022-09-16 09:34:00+00:00,anlikhaberin,Turkey,"Türkiye gazetesi: Ankara ile Şam istihbaratı, Suriye’ye güvenli dönüşü ve mülkiyet konularını ele aldı.",0.0,1.0,0.0
71,Aldi,2022-09-16 09:33:28+00:00,CrisBeniimBabam,CR7,"Maçtan sonra şerif oyuncusu Pernambuco, Ronaldo'nun imzalı formasını aldı.

EFSANE 🐐 https://t.co/sKOFfQEeMj",0.0,1.0,0.0
72,Aldi,2022-09-16 09:33:22+00:00,TCYenicaga,"Yeniçağa, Bolu",Sayın Valimiz Erkan KILIÇ Sayın Kaymakamımız Bilal ÇELİK’i makamında ziyaret ederek hayırlı olsun dileklerinde bulundu.İlçede devam eden ve planlanan yatırımlar hakkında bilgiler aldı. https://t.co/JXwRMgmBbW,0.0,1.0,0.0
73,Aldi,2022-09-16 09:32:46+00:00,Deryadeniz25se1,,@birincimucahit @samiltayyar27 Bizim cenahta kilicdaroglu na karşı bir küçümseme bir kibir aldı başını gidiyor halbuki her şeyi ve herkesi ciddiye alarak çalışacak işimize bakacağız Allahın kime neyi nasip ettiğini bilmiyoruz özel anlaşmamız yok Musa a.s ile firavun hikayesi ne çabuk unutuldu gitti,0.0,1.0,0.0
74,Aldi,2022-09-16 09:32:42+00:00,hnlngk,,"@dirilispostasi Ekmek parası ne yapsın garibim, bir daha alacak parası mı yok yoksa ödünç mü aldı. Allah kolaylık versin.",0.0,1.0,0.0
75,Aldi,2022-09-16 09:32:41+00:00,MScurka,,"@PeterKnazeje To se ani moc nedivím. Když jsem byl v Ženevě, tak tam mělo Aldi dost příznivé ceny, oproti tomu jak je ve Švýcarsku zvykem, takže jestli takto vystupuje i v Anglii :). Lidl do toho šlape v Evropě ještě víc snad :), číslo 1 si v Česku zaslouží :)",0.0,0.935,0.065
76,Aldi,2022-09-16 09:32:09+00:00,AldiUK,,"@Hickstar2 I’m so sorry to see this, Michael. Please speak to a member of the store team on your next convenient visit, the team will be happy to provide you with a refund. In the meantime, I’ll be sure to feed this back. Thanks - Sarka",0.034,0.746,0.22
77,Aldi,2022-09-16 09:32:07+00:00,Ramiko190,,"Size bişe anlatyim arkdaşım 7,03ten #hatek aldı hafta bsinda kara gecti geri gldi drken bu gitmiyr dedi bak banklar tavn tavn dedi ben #vakbn alacam dedi 13lerdemi ne sakin oyle bise yapma dedim ele verecekler dinlmdi ciddi zrarda simdi sizde kagıt gitmiyr die baska dala atlamyn",0.08,0.92,0.0
78,Aldi,2022-09-16 09:31:58+00:00,farukyz,Türkiye'de bir yer.,Üsküdar'a giderken aldı da bir yağmur derken. https://t.co/Mt3csGTOOK,0.0,1.0,0.0
79,Aldi,2022-09-16 09:31:49+00:00,kemalastam,,@emrahiric Çocuğun aklını başından aldı dengesiz siyasetçi ya:)),0.0,1.0,0.0
80,Aldi,2022-09-16 09:31:44+00:00,MrsSFD,,"@AldiUK Have just done so, thank you",0.0,0.649,0.351
81,Aldi,2022-09-16 09:31:43+00:00,sitrettmx,Konya,"An itibariyle fonlamamızın %60.1'i tamamlandı! 
Toplamda 7.207.925  TL yatırıma ulaştık.
996 Yatırımcı Pay Aldı.
55 Nitelikli Yatırımcı Yatırım Yaptı.
İlginize teşekkürler! ☺️ https://t.co/eHWYwlDh28",0.083,0.917,0.0
82,Aldi,2022-09-16 09:31:12+00:00,gurkan4107,"𝕶𝖊𝖒𝖊𝖗,𝕿𝖚𝖗𝖐𝖎𝖞𝖊 ",@YZtolgahan Dogru diyorsun fakat genis pencereden bakmak lazim ben 90 dk bi daha izledim butun kafa toplarini aldi defansi cok zorladi simdi diyorumki jesus hocam bilir ne diyosa o 🧿😉,0.0,1.0,0.0
83,Aldi,2022-09-16 09:31:11+00:00,ensondakikacom,Türkiye,"AB vize kolaylığını askıya aldı, bazı üye ülkeler Ruslara vize vermeyi tümüyle durdurdu https://t.co/Hq5dMEDSE5",0.0,1.0,0.0
84,Aldi,2022-09-16 09:31:04+00:00,SecurityToday,United Kingdom,Aldi urgently recalls sauce with 'do not eat' warning to shoppers - Coventry Telegraph https://t.co/ALzSolxRi8,0.0,0.865,0.135
85,Aldi,2022-09-16 09:30:59+00:00,SHetkinlk,SılaHalil💫,"Adba Analytics’in #DünNeOldu En Çok Ne Konuşuldu listesinde
Halil İbrahim Ceyhan 298Bin+ ileti ile 1.sırada
Sıla Türkoğlu 285Bin+ ileti ile 2.sırada
Halil İbrahim Ceyhan'ın hayat verdiği Yaman Kırımlı karakteri 257Bin+ileti ile 3.sırada yer aldı
#SılaTürkoğlu #HalilİbrahimCeyhan https://t.co/XpvrSo2Lp4",0.0,1.0,0.0
86,Aldi,2022-09-16 09:30:57+00:00,RahmiYavuzsar68,,@m_bozkurt46 İnek aldı götürdü satamadan getirdi 😂,0.0,1.0,0.0
87,Aldi,2022-09-16 09:30:54+00:00,CaptnStinkbart,,"@BrokkoliMuskel Habs gekauft, da ich meinen Hasen mal was gutes tun wollte. Und das ist garkein echtes heu. Dabei steht das drauf. Finde sowas sollte verboten werden. 
Aber muss los, im Aldi sind Fleischpflanzerl im Angebot und ich brauch grad eh neue Zimmer Pflanzen, was ein Glück.",0.0,1.0,0.0
88,Aldi,2022-09-16 09:30:47+00:00,daddarara,,@innsilence_ Ay aynı aşkım kredi kartı sağolsun hepsini aldı götürdü 😔,0.0,1.0,0.0
89,Aldi,2022-09-16 09:30:40+00:00,Alasteir,"Bursa, Türkiye",@yavuzseckin Ne ardasi ya tempoya bak adamlar  17 yasinda cocuk oyuna aldi orta sahayi dagitti irfan yuruyor zaten 2. Yi kaldirmaz takim biraz kendini zorlamali arda icin erken daha skor buldugu macta oynar yiksa zor,0.0,1.0,0.0
90,Aldi,2022-09-16 09:30:39+00:00,AroganliFrodo,,@goodmanbaba @fbaltayy @yescontextfb İkinci yarı sorumluluk aldı eyvallah ama ilk yarı da onun yerine başka biri oynasa durum buralara gelmezdi bence,0.0,1.0,0.0
91,Aldi,2022-09-16 09:30:32+00:00,Ajarncom,Thailand,I shall certainly be slipping in half a dozen cans of shaving gel and anti-perspirant though. That's well worth the effort. It's worth mentioning though that Aldi and Lidl are cheaper than Tesco but I still can't be bothered with lugging back food this time around.,0.0,0.816,0.184
92,Aldi,2022-09-16 09:30:28+00:00,AslanBe1905,,"Sen bir moronsun. Galatasaray geçen sezon tek başına hepinizin topladığı puanları aldı 
anlamamış olabilirsin ben anlatayım;

GS 1-0 Lazio
Marsilya 0-0 GS
L. Moskova 0-1 GS
GS 1-1 L. Moskova
GS 4-2 Marsilya
Lazio 0-0 GS
Son 16
Barca 0-0 GS
GS 1-2 Barca
#moron https://t.co/yY979qxHFq",0.0,1.0,0.0
93,Aldi,2022-09-16 09:30:13+00:00,bingoltv,Bingöl,"AB vize kolaylığını askıya aldı, bazı üye ülkeler Ruslara vize vermeyi tümüyle durdurdu https://t.co/0bsXNHlLdP",0.0,1.0,0.0
94,Aldi,2022-09-16 09:30:12+00:00,Artun81,"Istanbul, Turkey","@tahirbuyukakin @RTErdogan Ordaki diğer ülkeler ne ki,kim ki,insanlığa dokundukları yerde sıfatları,başarıları,katma değerleri ne ki,Erdoğan orada yer aldı diye gurur duyacağım? Utanç verici o gurubun içinde Türkiye Cumhuriyeti Devlet Başkanı'nı görmek.Türkiye'nin layık görüldüğü guruba bakın;içler acısı!",0.0,1.0,0.0
95,Aldi,2022-09-16 09:30:02+00:00,ekofinansguncel,"İstanbul, Türkiye",TruKKer yeni yatırım aldı https://t.co/hIcPuiAr6Q,0.0,1.0,0.0
96,Aldi,2022-09-16 09:30:00+00:00,TimesofTurkiye,"İstanbul, Türkiye","📍Dünyada son kez görüntülenen kuyruklu yıldızın fotoğrafı, Yılın Astronomi Fotoğrafı ödülünü aldı. 

📍Ödüllü fotoğraf, 2021 yılında Namibya’daki bir gözlemevinde çekildi. https://t.co/Bb9oWyYdva",0.0,1.0,0.0
97,Aldi,2022-09-16 09:29:33+00:00,kSelenegill,🇪🇸,"También tienen este en Aldi. De medio kilo, y mayor porcentaje de proteína. En comparación con el anterior, en 150 g tienen 16,5 g de Proteína (no sé por qué no usé este para abrir el hilo 🤦‍♀️) https://t.co/f22WbVymaK",0.059,0.941,0.0
98,Aldi,2022-09-16 09:29:30+00:00,Parisin_Tipsizi,Adana,"Anlamsız beklentilerin yerini aldı işe yaramayan hüzün.. ya çok aceleciydi, ya çok gerisindeydi zamanın. Oysa her şey zamanlaydı.. doğum ve ölümün de zamanı vardı.",0.0,1.0,0.0
99,Aldi,2022-09-16 09:29:27+00:00,sonbahar1938,,"İsviçre, AB'nin Ruslara yönelik vize kısıtlamalarına katıldı. İsviçre hükümeti, Federal Konsey, Bern ile Moskova arasında imzalanan vize kolaylaştırma anlaşmasını askıya aldı.

İsviçre ""Tarafsız""mıydı?",0.0,1.0,0.0
100,Waitrose,2022-09-16 09:29:25+00:00,NineBanff,Banff - Scotland ,"It's our Tried &amp; Tested #RedVelvet #Bakeoff from our TV Pilot, We made 3 cakes to #roadtest from @simonrim @jamieoliver &amp; Lorraine Pascale and also two store brought cakes from @waitrose  &amp; at @SelfridgesFood we had a @Flavourtownbake Who won ? We tell you later. 
#bakeoff #cake https://t.co/D2g3uHMUX6",0.0,0.922,0.078
101,Waitrose,2022-09-16 09:28:36+00:00,LChumpington,,@MarcusHodson5 @man_in_waitrose @SamanthaTaghoy British democracy is the form where you don't get to vote. Bit of a misnomer really,0.0,1.0,0.0
102,Waitrose,2022-09-16 09:27:08+00:00,BinetLes,"London, England","@sarahspoon @nickhirst No. I had to drive to Waitrose in Wimbledon, which is knee-deep in the stuff.",0.128,0.872,0.0
103,Waitrose,2022-09-16 09:23:25+00:00,HPersaud,"Stroud, England","@Lee_FGR It's in Stroud near Waitrose, would be interesting to see if it is near one of those on the map!",0.0,0.87,0.13
